network,station,location,channel,longitude,latitude,elevation_m,sensitivity
AZ,HSSP,,HNE,-116.6641,33.5847,1388.0,134234.0
AZ,HSSP,,HNN,-116.6641,33.5847,1388.0,134234.0
AZ,HSSP,,HNZ,-116.6641,33.5847,1388.0,134234.0
AZ,BSAP,,ACE,-116.322304,33.260201,160.0,
AZ,BSAP,,HNE,-116.322304,33.260201,160.0,427894.0
AZ,BSAP,,HNN,-116.322304,33.260201,160.0,427894.0
AZ,BSAP,,HNZ,-116.322304,33.260201,160.0,427894.0
AZ,BSAP,,LCE,-116.322304,33.260201,160.0,1000000.0
AZ,BSAP,,LCQ,-116.322304,33.260201,160.0,1.0
AZ,BSAP,,LOG,-116.322304,33.260201,160.0,
AZ,BSAP,,OCF,-116.322304,33.260201,160.0,
AZ,BSAP,,VCO,-116.322304,33.260201,160.0,6.67
AZ,BSAP,,VEA,-116.322304,33.260201,160.0,1000.0
AZ,BSAP,,VEC,-116.322304,33.260201,160.0,1000.0
AZ,BSAP,,VEP,-116.322304,33.260201,160.0,6.67
AZ,BSAP,,VKI,-116.322304,33.260201,160.0,1.0
AZ,BSAP,,VM0,-116.322304,33.260201,160.0,10.0
AZ,BSAP,,VM1,-116.322304,33.260201,160.0,10.0
AZ,BSAP,,VM2,-116.322304,33.260201,160.0,10.0
AZ,BSAP,,VM3,-116.322304,33.260201,160.0,10.0
AZ,BSAP,,VM4,-116.322304,33.260201,160.0,10.0
AZ,BSAP,,VM5,-116.322304,33.260201,160.0,10.0
AZ,BSAP,,VM6,-116.322304,33.260201,160.0,10.0
AZ,BSAP,,VPB,-116.322304,33.260201,160.0,10.0
AZ,HWB,,BHE,-116.9596,33.0262,478.0,335432000.0
AZ,HWB,,BHN,-116.9596,33.0262,478.0,335432000.0
AZ,HWB,,BHZ,-116.9596,33.0262,478.0,335432000.0
AZ,HWB,,HHE,-116.9596,33.0262,478.0,335427000.0
AZ,HWB,,HHN,-116.9596,33.0262,478.0,335427000.0
AZ,HWB,,HHZ,-116.9596,33.0262,478.0,335427000.0
AZ,HWB,,HNE,-116.9596,33.0262,478.0,422882.0
AZ,HWB,,HNN,-116.9596,33.0262,478.0,422882.0
AZ,HWB,,HNZ,-116.9596,33.0262,478.0,422882.0
AZ,HWB,,LHE,-116.9596,33.0262,478.0,327031000.0
AZ,HWB,,LHN,-116.9596,33.0262,478.0,327031000.0
